,Lot Shape,Land Contour,House Style,Heating QC,Central Air,Bedroom AbvGr,TotRms AbvGrd,Mo Sold,Year Built,Year Remod/Add,Garage Yr Blt,Yr Sold,house_score,exter_score,fireplace_score,garage_score,kitchen_score,total_baths,basement_score,Gr Liv Area,Mas Vnr Area,Total Bsmt SF,SalePrice
0,3,Lvl,2Story,5,Y,3,6,3,1976,2005,1976.0,2010,14,7,0,,4,3,6,1479,289.0,725.0,130500
1,3,Lvl,2Story,5,Y,4,8,4,1996,1997,1997.0,2009,12,7,3,,4,3,7,2122,132.0,913.0,220000
2,4,Lvl,1Story,3,Y,3,5,1,1953,2007,1953.0,2010,12,7,0,7.0,4,1,6,1057,0.0,1057.0,109000
3,4,Lvl,2Story,4,Y,3,7,4,2006,2007,2007.0,2010,10,6,0,9.0,3,3,7,1444,0.0,384.0,174000
4,3,Lvl,1.5Fin,3,Y,3,6,3,1900,1993,1957.0,2010,14,6,0,7.0,3,2,6,1445,0.0,676.0,138500
5,3,Lvl,1Story,5,Y,2,6,6,1966,2002,1966.0,2010,12,7,4,9.0,4,3,6,1888,0.0,1517.0,190000
6,4,Lvl,SFoyer,4,Y,2,5,6,2005,2006,2005.0,2006,11,6,0,9.0,3,2,7,1072,82.0,547.0,140000
7,3,Lvl,1Story,2,Y,3,6,5,1959,1959,1959.0,2010,10,6,0,,3,1,6,1188,180.0,1188.0,142000
8,4,Lvl,1Story,3,Y,2,6,6,1952,1952,1952.0,2007,10,6,0,7.0,3,1,6,924,0.0,924.0,112500
9,3,HLS,2Story,3,Y,5,9,9,1969,1969,1969.0,2007,10,6,6,7.0,2,3,7,2080,192.0,1040.0,135000
10,4,Lvl,2Story,3,Y,2,4,7,1971,1971,1971.0,2008,11,6,0,7.0,3,2,6,987,232.0,483.0,85400
11,3,Lvl,1Story,5,Y,2,6,2,2005,2005,2005.0,2006,12,7,0,,4,2,7,1208,0.0,1208.0,183600
12,4,Bnk,2Story,5,Y,4,7,6,1880,2007,1900.0,2009,12,7,3,7.0,3,1,0,2016,0.0,0.0,131000
13,4,Lvl,2Story,5,Y,3,7,12,1999,2000,2000.0,2008,13,7,0,7.0,4,3,7,1607,456.0,960.0,200000
14,4,Lvl,1Story,5,Y,3,6,6,2007,2007,2007.0,2008,12,7,0,,4,2,7,1361,0.0,1351.0,193000
15,4,Lvl,1Story,5,Y,3,7,3,2004,2005,2004.0,2010,10,6,0,,4,2,8,1430,0.0,1430.0,173500
16,4,Lvl,2Story,2,N,4,7,5,1916,1950,1916.0,2008,10,6,0,5.0,3,1,6,1344,0.0,624.0,98000
17,4,Lvl,1Story,3,Y,3,5,6,1963,1963,1963.0,2009,11,6,0,7.0,3,1,6,1121,0.0,1121.0,139000
18,4,Lvl,1Story,5,Y,3,7,4,1977,1977,1977.0,2007,11,6,3,,3,2,6,1285,148.0,660.0,143500
19,4,Lvl,2Story,5,Y,3,7,6,2009,2009,2009.0,2010,12,6,0,7.0,4,3,7,1547,0.0,756.0,215200
20,4,Lvl,1Story,4,Y,3,5,5,1968,1968,1968.0,2007,10,6,1,9.0,3,1,7,894,0.0,894.0,129000
21,3,Lvl,1Story,5,Y,2,5,10,2000,2000,2000.0,2009,13,7,5,9.0,5,2,7,1659,0.0,1501.0,278000
22,3,Lvl,2Story,5,Y,3,8,7,2005,2006,2005.0,2006,13,7,4,9.0,5,3,8,2253,0.0,1209.0,344133
23,3,Lvl,1Story,5,Y,3,6,3,1992,2007,1992.0,2010,13,7,0,9.0,3,2,7,1187,0.0,1168.0,185000
24,4,Bnk,1Story,3,N,3,5,1,1955,1955,1955.0,2006,10,6,0,9.0,3,1,6,1056,0.0,1056.0,145000
25,3,Lvl,1Story,5,Y,3,6,4,1961,1961,1961.0,2009,12,6,3,,3,2,6,1453,3.0,1453.0,187500
26,4,Lvl,1Story,5,Y,3,5,4,1965,2009,1973.0,2010,13,7,4,7.0,3,1,6,894,0.0,894.0,138500
27,3,HLS,1.5Fin,5,Y,4,7,7,1937,1995,1937.0,2008,11,6,4,7.0,4,2,6,1938,0.0,942.0,198000
28,4,Lvl,2Story,2,N,4,9,6,1895,2006,missing,2007,11,7,0,0.0,6,2,6,1991,0.0,957.0,119600
29,4,Lvl,1.5Fin,5,Y,3,6,7,1949,2006,2003.0,2007,12,7,1,7.0,3,1,6,924,0.0,672.0,122900
30,4,Lvl,1Story,3,Y,4,9,7,1981,1981,1981.0,2009,13,7,4,9.0,4,3,7,2524,0.0,2524.0,278000
31,3,HLS,2Story,2,Y,3,7,6,1929,1950,1931.0,2006,15,6,8,7.0,4,1,7,1517,0.0,792.0,230000
32,3,Lvl,1Story,5,Y,2,6,4,1995,1996,1995.0,2006,13,8,4,9.0,5,2,8,1494,0.0,1494.0,270000
33,4,Lvl,1Story,3,Y,2,5,4,1952,1952,1952.0,2007,12,6,0,7.0,3,1,6,948,0.0,948.0,125000
34,4,Lvl,1Story,5,Y,3,7,9,2007,2008,2007.0,2009,13,7,4,,4,2,8,1718,336.0,1705.0,297000
35,3,HLS,1Story,2,Y,2,5,4,1958,1958,1958.0,2009,12,6,4,,3,1,7,1142,82.0,160.0,113500
36,4,Lvl,2Story,5,Y,4,6,7,1977,1977,1977.0,2006,11,6,3,,3,2,6,1475,0.0,757.0,127000
37,3,Lvl,1Story,5,Y,3,7,1,1977,1977,1977.0,2010,12,6,3,,3,2,7,1844,480.0,1844.0,190000
38,4,Lvl,1Story,2,Y,3,6,9,1973,1973,1973.0,2007,13,6,3,7.0,3,2,6,1242,320.0,1242.0,175500
39,2,Lvl,1Story,5,Y,3,5,7,1994,1994,1995.0,2007,12,7,0,7.0,3,1,8,990,0.0,990.0,146000
40,4,Lvl,1Story,4,Y,3,6,6,1965,1965,1965.0,2008,11,7,0,9.0,3,2,6,1256,0.0,1256.0,147500
41,4,Lvl,1Story,5,Y,2,7,9,2006,2006,2006.0,2006,15,8,4,9.0,5,3,9,2076,0.0,2076.0,465000
42,3,Lvl,SFoyer,5,Y,1,4,7,1978,1978,1978.0,2009,11,7,3,9.0,4,1,7,1110,104.0,1097.0,165500
43,4,Lvl,1.5Fin,5,N,4,7,11,1954,1954,1954.0,2008,10,6,0,6.0,3,2,6,1795,335.0,1050.0,131500
44,4,Lvl,1Story,5,Y,3,5,2,1965,1965,1965.0,2008,10,6,0,7.0,3,1,6,1040,0.0,1040.0,129500
45,3,HLS,2Story,3,Y,4,9,6,1935,1950,1935.0,2008,14,6,8,8.0,3,2,5,1873,40.0,608.0,257076
46,4,Lvl,1.5Fin,5,Y,3,6,7,1941,1960,1977.0,2009,10,6,0,7.0,3,2,6,1604,0.0,984.0,117000
47,4,HLS,2Story,3,Y,3,6,2,1931,2000,1931.0,2008,13,5,4,,3,2,7,1502,0.0,776.0,149000
48,4,Lvl,1Story,3,Y,3,6,2,1954,1954,1954.0,2010,10,6,0,,3,1,6,1063,110.0,1056.0,128000
49,4,Lvl,2Story,5,Y,2,6,10,2003,2004,2003.0,2008,12,7,0,,4,3,7,1626,106.0,764.0,155000
50,4,Lvl,2Story,5,Y,2,4,6,2000,2000,2000.0,2006,11,7,0,7.0,4,3,7,1524,513.0,756.0,166000
51,4,Lvl,1.5Fin,3,Y,4,7,12,1928,1950,1981.0,2009,7,6,6,7.0,4,2,6,1981,0.0,1122.0,135000
52,3,Lvl,2Story,3,Y,5,12,7,1978,1978,1978.0,2006,12,6,6,,4,4,7,2784,184.0,1392.0,250000
53,4,Lvl,2Story,5,Y,3,5,3,1970,1970,missing,2010,11,6,0,0.0,3,2,6,1092,0.0,546.0,76000
54,4,Lvl,1Story,3,Y,2,5,6,1951,1951,1951.0,2006,12,6,4,7.0,4,2,6,1575,522.0,216.0,155000
55,4,Lvl,2Story,3,Y,4,7,3,1969,1969,1969.0,2010,13,6,0,9.0,3,2,6,1352,143.0,663.0,158000
56,4,Lvl,2Story,5,Y,2,4,2,2004,2005,2004.0,2010,12,7,0,,4,3,7,1200,0.0,600.0,149500
57,4,Lvl,1Story,3,Y,2,5,3,1954,1975,1954.0,2006,11,7,0,7.0,3,1,6,936,0.0,936.0,121000
58,4,Lvl,1Story,3,Y,3,6,6,1953,1953,1953.0,2007,13,6,0,9.0,3,1,6,1040,0.0,1040.0,136000
59,2,Lvl,2Story,4,Y,3,7,11,1996,1996,1996.0,2008,11,6,3,9.0,3,3,7,1636,0.0,916.0,173000
60,3,Lvl,2Story,5,Y,4,9,4,1999,2007,1999.0,2010,15,7,4,9.0,4,3,7,2270,348.0,1152.0,290000
61,4,Lvl,2Story,5,Y,4,11,8,2007,2007,2007.0,2007,13,7,4,9.0,5,3,7,2610,0.0,1184.0,303477
62,3,Low,1Story,4,Y,1,4,4,1977,2001,1977.0,2010,14,8,6,,3,2,7,1483,0.0,1420.0,270000
63,4,Lvl,1.5Fin,4,N,2,6,6,1920,1950,1920.0,2008,10,4,4,5.0,5,1,6,1740,0.0,936.0,122250
64,4,Lvl,1Story,4,Y,3,6,7,1955,1955,1955.0,2009,10,6,0,7.0,4,1,6,1382,0.0,1382.0,153000
65,4,Lvl,1Story,5,Y,3,6,12,2007,2007,missing,2007,10,6,0,0.0,3,1,7,1120,0.0,1120.0,147000
66,4,Lvl,2Story,3,Y,2,5,6,1930,1995,1930.0,2007,15,6,4,7.0,3,1,7,1098,0.0,531.0,148500
67,4,Lvl,2Story,5,Y,3,7,4,2004,2004,2004.0,2006,12,7,0,7.0,4,2,7,1708,117.0,976.0,130000
68,3,HLS,1Story,5,Y,3,7,6,2006,2006,2006.0,2007,14,8,4,9.0,5,3,8,1802,510.0,1802.0,372000
69,4,Lvl,1Story,5,Y,2,6,4,2005,2005,2005.0,2006,12,7,4,9.0,4,2,7,1506,145.0,1362.0,213490
70,2,Lvl,1Story,5,Y,1,5,1,2009,2010,2009.0,2010,12,7,6,,4,1,7,1508,96.0,1508.0,308030
71,2,Lvl,1Story,5,Y,3,7,9,1996,1997,1996.0,2008,12,7,0,9.0,4,3,8,2032,668.0,1840.0,300000
72,4,Lvl,1Story,5,Y,3,6,7,1959,1959,1954.0,2006,12,6,2,9.0,3,1,6,1194,0.0,655.0,159500
73,4,Lvl,2Story,5,Y,3,7,4,2004,2004,2004.0,2006,12,7,0,7.0,4,2,7,1709,50.0,970.0,137500
74,4,Lvl,1Story,5,Y,3,7,4,2005,2005,2005.0,2006,12,7,0,,4,2,7,1616,228.0,1616.0,232000
75,3,Lvl,1Story,3,Y,1,4,7,1930,1950,1930.0,2008,12,8,0,7.0,3,1,6,768,0.0,768.0,93850
76,4,Lvl,1Story,2,N,2,5,4,1924,1950,1924.0,2006,10,6,4,5.0,2,1,6,872,65.0,872.0,105000
77,3,Lvl,1Story,2,N,1,4,5,1927,1950,1920.0,2008,10,6,0,6.0,2,1,6,520,0.0,520.0,68500
78,4,Lvl,2Story,3,Y,5,12,1,1960,1960,1960.0,2010,10,6,0,7.0,6,2,6,2274,361.0,1105.0,154300
79,4,Lvl,1.5Fin,5,Y,3,6,9,1925,2003,missing,2007,12,8,0,0.0,3,2,4,1601,0.0,936.0,129850
80,4,Lvl,2Story,5,Y,3,6,6,1910,1950,1920.0,2007,12,6,0,5.0,3,1,6,1232,0.0,616.0,114000
81,3,Lvl,1Story,5,Y,1,9,7,2008,2009,2009.0,2009,14,8,4,9.0,5,2,8,2234,748.0,2216.0,501837
82,3,Lvl,1.5Fin,4,Y,4,7,6,1915,1950,1949.0,2008,13,6,4,7.0,3,2,6,1416,0.0,876.0,153900
83,4,Lvl,1Story,4,Y,3,5,7,1971,2006,1986.0,2009,11,7,0,7.0,3,1,6,864,0.0,864.0,130000
84,4,Lvl,1Story,5,Y,2,4,4,1997,1997,1997.0,2008,11,6,0,,3,2,8,1189,197.0,1189.0,160500
85,4,Lvl,1Story,5,Y,2,6,6,2006,2006,2006.0,2006,14,8,4,,4,2,9,1666,572.0,1666.0,310090
86,4,Lvl,1Story,5,Y,2,5,8,2003,2003,2003.0,2009,12,7,0,,4,2,7,1200,0.0,1176.0,184900
87,4,Lvl,1Story,3,Y,2,4,6,1956,2000,1956.0,2007,12,6,0,7.0,3,1,7,928,0.0,928.0,132000
88,4,Lvl,1Story,3,Y,3,6,8,1969,1969,1969.0,2009,10,6,2,,3,2,7,1336,128.0,1288.0,163000
89,4,Lvl,2Story,5,Y,2,4,4,2004,2004,2004.0,2010,12,7,0,,4,3,7,1200,120.0,600.0,155000
90,3,Lvl,SLvl,4,Y,4,7,5,1969,1969,1969.0,2008,12,6,0,,3,2,6,1427,0.0,1427.0,183000
91,1,Lvl,2Story,5,Y,3,7,6,1996,2002,1996.0,2007,12,7,6,,4,3,7,1992,254.0,860.0,211000
92,4,Lvl,2Story,5,Y,3,6,10,1994,1994,1994.0,2009,12,7,0,,4,3,7,1540,0.0,754.0,184000
93,4,Bnk,1Story,3,Y,4,8,6,1979,1979,1979.0,2009,10,6,0,7.0,6,2,0,1535,0.0,0.0,118858
94,3,Lvl,SLvl,3,Y,3,6,4,1964,1964,1964.0,2010,12,6,4,,3,1,6,1152,86.0,1152.0,180500
95,3,Lvl,1Story,5,Y,2,5,2,2006,2007,2006.0,2007,13,7,0,9.0,4,2,7,1151,30.0,1141.0,166000
96,4,Lvl,SLvl,5,Y,3,6,3,1960,1960,1960.0,2009,11,6,3,,3,1,6,1138,54.0,1138.0,148000
97,3,Lvl,1Story,4,Y,2,6,1,1956,1956,1966.0,2007,10,6,4,7.0,4,1,6,1074,0.0,894.0,124000
98,4,Lvl,1Story,5,Y,2,6,8,2005,2005,2005.0,2007,14,8,4,9.0,5,2,8,1561,246.0,1561.0,277500
99,3,Lvl,2Story,5,Y,4,9,6,1995,1995,1995.0,2006,13,7,5,,4,3,7,2726,397.0,1342.0,350000
100,3,HLS,1Story,5,Y,2,7,9,2004,2004,2004.0,2008,14,8,4,9.0,5,2,8,1884,296.0,1884.0,387000
101,3,Lvl,1Story,5,Y,2,5,7,1920,2002,missing,2007,11,6,0,0.0,3,1,6,605,0.0,528.0,86000
102,4,Lvl,1Story,5,Y,3,6,5,1976,2007,1976.0,2008,17,10,4,,5,3,9,1671,0.0,1426.0,290000
103,4,Lvl,1Story,3,N,2,5,9,1900,1950,missing,2009,6,5,0,0.0,3,1,5,797,0.0,245.0,44000
104,3,Lvl,2Story,5,Y,3,7,6,2001,2002,2001.0,2009,11,6,3,9.0,4,3,8,1961,0.0,804.0,215000
