,Alley,Lot Shape,Land Contour,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,MS SubClass,MS Zoning,Street,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Mo Sold,Sale Type,Year Built,Year Remod/Add,Garage Yr Blt,Yr Sold,Lot Frontage,Lot Area,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,SalePrice
0,missing,IR1,Lvl,8,Gable,CompShg,HdBoard,Plywood,BrkFace,Gd,TA,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,CBlock,TA,TA,No,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,Gd,6,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,3,WD ,1976,2005,1976.0,2010,0.0,13517,289.0,533.0,0.0,192.0,725.0,725,754,0,1479,475.0,0,44,0,0,0,0,0,130500
1,missing,IR1,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,PConc,Gd,TA,No,60,RL,Pave,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,missing,missing,missing,4,WD ,1996,1997,1997.0,2009,43.0,11492,132.0,637.0,0.0,276.0,913.0,913,1209,0,2122,559.0,0,74,0,0,0,0,0,220000
2,missing,Reg,Lvl,7,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,GLQ,Unf,GasA,TA,Y,SBrkr,1.0,0.0,1,0,3,1,Gd,5,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,missing,missing,1,WD ,1953,2007,1953.0,2010,68.0,7922,0.0,731.0,0.0,326.0,1057.0,1057,0,0,1057,246.0,0,52,0,0,0,0,0,109000
3,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,PConc,Gd,TA,No,60,RL,Pave,Unf,Unf,GasA,Gd,Y,SBrkr,0.0,0.0,2,1,3,1,TA,7,Typ,0,missing,BuiltIn,Fin,2.0,TA,TA,Y,missing,missing,missing,4,WD ,2006,2007,2007.0,2010,73.0,9802,0.0,0.0,0.0,384.0,384.0,744,700,0,1444,400.0,100,0,0,0,0,0,0,174000
4,missing,IR1,Lvl,8,Gable,CompShg,Wd Sdng,Plywood,None,TA,TA,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,PConc,Fa,Gd,No,50,RL,Pave,Unf,Unf,GasA,TA,Y,SBrkr,0.0,0.0,2,0,3,1,TA,6,Typ,0,missing,Detchd,Unf,2.0,TA,TA,N,missing,missing,missing,3,WD ,1900,1993,1957.0,2010,82.0,14235,0.0,0.0,0.0,676.0,676.0,831,614,0,1445,484.0,0,59,0,0,0,0,0,138500
5,missing,IR1,Lvl,6,Gable,CompShg,BrkFace,Plywood,None,Gd,TA,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,CBlock,TA,TA,No,20,RL,Pave,ALQ,Rec,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,Fin,2.0,TA,TA,Y,missing,missing,missing,6,WD ,1966,2002,1966.0,2010,137.0,16492,0.0,247.0,713.0,557.0,1517.0,1888,0,0,1888,578.0,0,0,0,0,0,0,0,190000
6,missing,Reg,Lvl,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,PConc,Gd,TA,Gd,180,RM,Pave,GLQ,Unf,GasA,Gd,Y,SBrkr,1.0,0.0,2,0,2,1,TA,5,Typ,0,missing,Basment,Fin,2.0,TA,TA,Y,missing,missing,missing,6,New,2005,2006,2005.0,2006,35.0,3675,82.0,547.0,0.0,0.0,547.0,1072,0,0,1072,525.0,0,44,0,0,0,0,0,140000
7,missing,IR1,Lvl,5,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,Rec,Unf,GasA,Fa,Y,SBrkr,1.0,0.0,1,0,3,1,TA,6,Typ,0,missing,Attchd,RFn,2.0,TA,TA,Y,missing,MnPrv,missing,5,COD,1959,1959,1959.0,2010,0.0,12160,180.0,1000.0,0.0,188.0,1188.0,1188,0,0,1188,531.0,0,0,0,0,0,0,0,142000
8,missing,Reg,Lvl,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,CBlock,TA,TA,No,20,RL,Pave,Rec,Unf,GasA,TA,Y,SBrkr,0.0,0.0,1,0,2,1,TA,6,Typ,0,missing,Detchd,Unf,1.0,TA,TA,Y,missing,MnPrv,Shed,6,WD ,1952,1952,1952.0,2007,0.0,15783,0.0,292.0,0.0,632.0,924.0,924,0,0,924,420.0,0,324,0,0,0,0,400,112500
9,missing,IR1,HLS,5,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,PConc,Gd,TA,Av,60,RL,Pave,Rec,Unf,GasA,TA,Y,SBrkr,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,Unf,2.0,TA,TA,Y,missing,missing,missing,9,WD ,1969,1969,1969.0,2007,70.0,11606,192.0,650.0,0.0,390.0,1040.0,1040,1040,0,2080,504.0,335,0,0,0,0,0,0,135000
